lime_tha,emmean,SE,df,lower.CL,upper.CL,admin2_gadm,crop
6,2.094921417079241,0.09826498301800243,7.768352586323947,1.8671403981267443,2.322702436031738,Ngororero,Maize
6.5,2.006748635921492,0.09856094572726934,7.86495385569259,1.778785597135126,2.234711674707858,Ngororero,Maize
7,1.880211277413623,0.10159586132556607,8.907128028583834,1.6500196677491692,2.110402887078077,Ngororero,Maize
0,0.11396096681524032,0.1101373454152618,8.871467605743897,-0.13573835595956418,0.3636602895900448,Nyaruguru,Maize
0.5,0.48616311385891503,0.10533415872626685,7.312564359682188,0.23922945274307134,0.7330967749747588,Nyaruguru,Maize
1,0.8200006835524702,0.1041020580399473,6.9469585746321165,0.5734569114054309,1.0665444556995096,Nyaruguru,Maize
1.5,1.1154736758959074,0.1052081879412138,7.274561102726997,0.8685866746320956,1.3623606771597192,Nyaruguru,Maize
2,1.3725820908892254,0.1074770568515735,7.981245247148289,1.1246381433366772,1.6205260384417737,Nyaruguru,Maize
2.5,1.5913259285324255,0.10997797694282259,8.81621195571725,1.3417456238784173,1.8409062331864336,Nyaruguru,Maize
3,1.7717051888255053,0.11206837296920169,9.561002834534325,1.5204384347885767,2.022971942862434,Nyaruguru,Maize
3.5,1.913719871768468,0.11336511328008392,10.045195372078876,1.6612806202303,2.166159123306636,Nyaruguru,Maize
4,2.017369977361312,0.11370475158164109,10.174877258237656,1.7646089920659942,2.2701309626566295,Nyaruguru,Maize
4.5,2.0826555056040363,0.11311987649431154,9.952301450150802,1.8304448768364892,2.3348661343715835,Nyaruguru,Maize
5,2.1095764564966415,0.11183859070416077,9.476993032004703,1.8585078228183436,2.3606450901749394,Nyaruguru,Maize
5.5,2.098132830039129,0.11030443449807616,8.929667927969781,1.8483069569215518,2.3479587031567064,Nyaruguru,Maize
6,2.0483246262314956,0.10920393065934138,8.551362671664299,1.7992983467643984,2.297350905698593,Nyaruguru,Maize
6.5,1.9601518450737463,0.10947032294907759,8.64185468632634,1.7109394692539488,2.209364220893544,Nyaruguru,Maize
7,1.833614486565877,0.11221056377367004,9.6132567284574435,1.5822236404318508,2.085005332699903,Nyaruguru,Maize
0,-0.04516583813718533,0.11580782585300697,10.212973567480024,-0.3024742398540553,0.21214256357968464,Mbozi,Maize
0.5,0.3270363089064893,0.11124973109293532,8.584698649365144,0.07350378407778252,0.5805688337351962,Mbozi,Maize
1,0.6608738786000448,0.11008385967903252,8.200331653089586,0.4080954696367064,0.9136522875633831,Mbozi,Maize
1.5,0.9563468709434819,0.11113046604578945,8.544794087647428,0.7028959078352536,1.2097978340517104,Mbozi,Maize
2,1.2134552859368,0.11328078134951747,9.28510487970457,0.9583908070302707,1.4685197648433292,Mbozi,Maize
2.5,1.43219912358,0.11565627127880704,10.155520290684906,1.175034814457463,1.689363432702537,Mbozi,Maize
3,1.6125783838730798,0.11764581545318653,10.928519127962236,1.3534349048818886,1.8717218628642711,Mbozi,Maize
