crop,lime_tha,r_p,prob_profit,r_p_obs
Wheat,2.5,6.75,0.46494594594594596,4.017027486830509
Wheat,2.5,7,0.4871621621621622,4.017027486830509
Wheat,2.5,7.25,0.49851351351351353,4.017027486830509
Wheat,2.5,7.5,0.5185945945945946,4.017027486830509
Wheat,2.5,7.75,0.5356486486486487,4.017027486830509
Wheat,2.5,8,0.5542162162162162,4.017027486830509
Wheat,2.5,8.25,0.557027027027027,4.017027486830509
Wheat,2.5,8.5,0.5757837837837838,4.017027486830509
Wheat,2.5,8.75,0.5848648648648649,4.017027486830509
Wheat,2.5,9,0.5966216216216216,4.017027486830509
Wheat,2.5,9.25,0.6064324324324324,4.017027486830509
Wheat,2.5,9.5,0.6111891891891892,4.017027486830509
Wheat,2.5,9.75,0.6197297297297297,4.017027486830509
Wheat,2.5,10,0.6281351351351351,4.017027486830509
Wheat,7,0.5,0,4.017027486830509
Wheat,7,0.75,0,4.017027486830509
Wheat,7,1,0,4.017027486830509
Wheat,7,1.25,0,4.017027486830509
Wheat,7,1.5,0,4.017027486830509
Wheat,7,1.75,0,4.017027486830509
Wheat,7,2,0,4.017027486830509
Wheat,7,2.25,0,4.017027486830509
Wheat,7,2.5,0,4.017027486830509
Wheat,7,2.75,0,4.017027486830509
Wheat,7,3,2.7027027027027027e-5,4.017027486830509
Wheat,7,3.25,1.6216216216216215e-4,4.017027486830509
Wheat,7,3.5,5.135135135135136e-4,4.017027486830509
Wheat,7,3.75,0.0017567567567567568,4.017027486830509
Wheat,7,4,0.004675675675675676,4.017027486830509
Wheat,7,4.25,0.007297297297297297,4.017027486830509
Wheat,7,4.5,0.014081081081081082,4.017027486830509
Wheat,7,4.75,0.02081081081081081,4.017027486830509
Wheat,7,5,0.030135135135135136,4.017027486830509
Wheat,7,5.25,0.041945945945945945,4.017027486830509
Wheat,7,5.5,0.05472972972972973,4.017027486830509
Wheat,7,5.75,0.06705405405405405,4.017027486830509
Wheat,7,6,0.07662162162162162,4.017027486830509
Wheat,7,6.25,0.09164864864864865,4.017027486830509
Wheat,7,6.5,0.10697297297297298,4.017027486830509
Wheat,7,6.75,0.11675675675675676,4.017027486830509
Wheat,7,7,0.1315945945945946,4.017027486830509
Wheat,7,7.25,0.14756756756756756,4.017027486830509
Wheat,7,7.5,0.15054054054054053,4.017027486830509
Wheat,7,7.75,0.16548648648648648,4.017027486830509
Wheat,7,8,0.17702702702702702,4.017027486830509
Wheat,7,8.25,0.18621621621621623,4.017027486830509
Wheat,7,8.5,0.1932972972972973,4.017027486830509
Wheat,7,8.75,0.20902702702702702,4.017027486830509
Wheat,7,9,0.2181081081081081,4.017027486830509
Wheat,7,9.25,0.23578378378378378,4.017027486830509
Wheat,7,9.5,0.23843243243243242,4.017027486830509
Wheat,7,9.75,0.2467027027027027,4.017027486830509
Wheat,7,10,0.25410810810810813,4.017027486830509
Fababean,1,0.5,0.00508695652173913,5.3395474204193745
Fababean,1,0.75,0.051782608695652176,5.3395474204193745
Fababean,1,1,0.15665217391304348,5.3395474204193745
Fababean,1,1.25,0.272,5.3395474204193745
Fababean,1,1.5,0.3481304347826087,5.3395474204193745
Fababean,1,1.75,0.4053913043478261,5.3395474204193745
Fababean,1,2,0.4529130434782609,5.3395474204193745
Fababean,1,2.25,0.4946521739130435,5.3395474204193745
Fababean,1,2.5,0.532695652173913,5.3395474204193745
Fababean,1,2.75,0.5664347826086956,5.3395474204193745
Fababean,1,3,0.5933478260869566,5.3395474204193745
Fababean,1,3.25,0.6169130434782608,5.3395474204193745
Fababean,1,3.5,0.6386086956521739,5.3395474204193745
Fababean,1,3.75,0.6518260869565218,5.3395474204193745
Fababean,1,4,0.6653043478260869,5.3395474204193745
Fababean,1,4.25,0.6765652173913044,5.3395474204193745
Fababean,1,4.5,0.6835217391304348,5.3395474204193745
Fababean,1,4.75,0.6885217391304348,5.3395474204193745
Fababean,1,5,0.6905652173913044,5.3395474204193745
Fababean,1,5.25,0.6928260869565217,5.3395474204193745
Fababean,1,5.5,0.6932608695652174,5.3395474204193745
Fababean,1,5.75,0.6949130434782609,5.3395474204193745
Fababean,1,6,0.6949130434782609,5.3395474204193745
Fababean,1,6.25,0.6958260869565217,5.3395474204193745
Fababean,1,6.5,0.6969130434782609,5.3395474204193745
Fababean,1,6.75,0.6975217391304348,5.3395474204193745
Fababean,1,7,0.700391304347826,5.3395474204193745
Fababean,1,7.25,0.7022173913043478,5.3395474204193745
Fababean,1,7.5,0.7050869565217391,5.3395474204193745
Fababean,1,7.75,0.7075652173913044,5.3395474204193745
Fababean,1,8,0.7128260869565217,5.3395474204193745
Fababean,1,8.25,0.7156086956521739,5.3395474204193745
Fababean,1,8.5,0.7217826086956521,5.3395474204193745
Fababean,1,8.75,0.725304347826087,5.3395474204193745
Fababean,1,9,0.7316086956521739,5.3395474204193745
Fababean,1,9.25,0.7338260869565217,5.3395474204193745
Fababean,1,9.5,0.7431739130434782,5.3395474204193745
Fababean,1,9.75,0.7460869565217392,5.3395474204193745
Fababean,1,10,0.7515217391304347,5.3395474204193745
Fababean,2.5,0.5,0,5.3395474204193745
Fababean,2.5,0.75,0.0013043478260869566,5.3395474204193745
Fababean,2.5,1,0.018478260869565218,5.3395474204193745
Fababean,2.5,1.25,0.05221739130434783,5.3395474204193745
Fababean,2.5,1.5,0.10121739130434783,5.3395474204193745
Fababean,2.5,1.75,0.15995652173913044,5.3395474204193745
Fababean,2.5,2,0.2242608695652174,5.3395474204193745
Fababean,2.5,2.25,0.28743478260869565,5.3395474204193745
Fababean,2.5,2.5,0.34017391304347827,5.3395474204193745
Fababean,2.5,2.75,0.3887826086956522,5.3395474204193745
Fababean,2.5,3,0.4295652173913043,5.3395474204193745
Fababean,2.5,3.25,0.4499565217391304,5.3395474204193745
Fababean,2.5,3.5,0.46808695652173915,5.3395474204193745
Fababean,2.5,3.75,0.4790869565217391,5.3395474204193745
Fababean,2.5,4,0.49521739130434783,5.3395474204193745
Fababean,2.5,4.25,0.5077826086956522,5.3395474204193745
Fababean,2.5,4.5,0.5187391304347826,5.3395474204193745
Fababean,2.5,4.75,0.5322173913043479,5.3395474204193745
Fababean,2.5,5,0.5395652173913044,5.3395474204193745
Fababean,2.5,5.25,0.5555217391304348,5.3395474204193745
Fababean,2.5,5.5,0.5694347826086956,5.3395474204193745
Fababean,2.5,5.75,0.5811304347826087,5.3395474204193745
Fababean,2.5,6,0.593,5.3395474204193745
Fababean,2.5,6.25,0.6023478260869565,5.3395474204193745
Fababean,2.5,6.5,0.6162173913043478,5.3395474204193745
Fababean,2.5,6.75,0.6306086956521739,5.3395474204193745
Fababean,2.5,7,0.6383913043478261,5.3395474204193745
Fababean,2.5,7.25,0.6483043478260869,5.3395474204193745
Fababean,2.5,7.5,0.6544347826086957,5.3395474204193745
Fababean,2.5,7.75,0.665,5.3395474204193745
Fababean,2.5,8,0.6718695652173913,5.3395474204193745
Fababean,2.5,8.25,0.6779565217391305,5.3395474204193745
Fababean,2.5,8.5,0.6794782608695652,5.3395474204193745
Fababean,2.5,8.75,0.6855217391304348,5.3395474204193745
Fababean,2.5,9,0.6895652173913044,5.3395474204193745
Fababean,2.5,9.25,0.6947391304347826,5.3395474204193745
Fababean,2.5,9.5,0.6954347826086956,5.3395474204193745
Fababean,2.5,9.75,0.7007826086956521,5.3395474204193745
Fababean,2.5,10,0.7057826086956521,5.3395474204193745
Fababean,7,0.5,0,5.3395474204193745
Fababean,7,0.75,0,5.3395474204193745
Fababean,7,1,0,5.3395474204193745
Fababean,7,1.25,0,5.3395474204193745
Fababean,7,1.5,0,5.3395474204193745
Fababean,7,1.75,0,5.3395474204193745
Fababean,7,2,2.608695652173913e-4,5.3395474204193745
Fababean,7,2.25,0.0012608695652173913,5.3395474204193745
Fababean,7,2.5,0.004434782608695652,5.3395474204193745
Fababean,7,2.75,0.011217391304347827,5.3395474204193745
Fababean,7,3,0.02108695652173913,5.3395474204193745
Fababean,7,3.25,0.034521739130434784,5.3395474204193745
Fababean,7,3.5,0.05643478260869565,5.3395474204193745
Fababean,7,3.75,0.07930434782608696,5.3395474204193745
Fababean,7,4,0.11047826086956522,5.3395474204193745
Fababean,7,4.25,0.1433913043478261,5.3395474204193745
Fababean,7,4.5,0.17608695652173914,5.3395474204193745
Fababean,7,4.75,0.2108695652173913,5.3395474204193745
Fababean,7,5,0.23565217391304347,5.3395474204193745
Fababean,7,5.25,0.2637391304347826,5.3395474204193745
Fababean,7,5.5,0.287695652173913,5.3395474204193745
Fababean,7,5.75,0.3164347826086957,5.3395474204193745
Fababean,7,6,0.33704347826086956,5.3395474204193745
Fababean,7,6.25,0.3532173913043478,5.3395474204193745
Fababean,7,6.5,0.3750434782608696,5.3395474204193745
Fababean,7,6.75,0.39156521739130434,5.3395474204193745
Fababean,7,7,0.4118695652173913,5.3395474204193745
Fababean,7,7.25,0.4235217391304348,5.3395474204193745
Fababean,7,7.5,0.4423478260869565,5.3395474204193745
Fababean,7,7.75,0.45652173913043476,5.3395474204193745
Fababean,7,8,0.4746521739130435,5.3395474204193745
Fababean,7,8.25,0.49121739130434783,5.3395474204193745
Fababean,7,8.5,0.5040869565217392,5.3395474204193745
Fababean,7,8.75,0.5173478260869565,5.3395474204193745
Fababean,7,9,0.5349130434782609,5.3395474204193745
Fababean,7,9.25,0.5384347826086957,5.3395474204193745
Fababean,7,9.5,0.543695652173913,5.3395474204193745
Fababean,7,9.75,0.5645652173913044,5.3395474204193745
Fababean,7,10,0.5666521739130435,5.3395474204193745
Beans,1,0.5,0.008442953020134229,4.052001145095452
Beans,1,0.75,0.02340268456375839,4.052001145095452
Beans,1,1,0.044671140939597315,4.052001145095452
Beans,1,1.25,0.06416107382550336,4.052001145095452
Beans,1,1.5,0.08693288590604027,4.052001145095452
Beans,1,1.75,0.1138523489932886,4.052001145095452
Beans,1,2,0.14093959731543623,4.052001145095452
Beans,1,2.25,0.16903355704697987,4.052001145095452
Beans,1,2.5,0.19773154362416107,4.052001145095452
Beans,1,2.75,0.21955704697986578,4.052001145095452
Beans,1,3,0.24221476510067114,4.052001145095452
Beans,1,3.25,0.2588053691275168,4.052001145095452
Beans,1,3.5,0.2737852348993289,4.052001145095452
Beans,1,3.75,0.2963758389261745,4.052001145095452
Beans,1,4,0.31708724832214763,4.052001145095452
Beans,1,4.25,0.3349597315436242,4.052001145095452
Beans,1,4.5,0.35418791946308725,4.052001145095452
Beans,1,4.75,0.37612751677852346,4.052001145095452
Beans,1,5,0.4002684563758389,4.052001145095452
Beans,1,5.25,0.4240738255033557,4.052001145095452
Beans,1,5.5,0.44451006711409397,4.052001145095452
Beans,1,5.75,0.46865771812080537,4.052001145095452
Beans,1,6,0.4883758389261745,4.052001145095452
Beans,1,6.25,0.5079261744966443,4.052001145095452
Beans,1,6.5,0.5247986577181208,4.052001145095452
